target_id	length	eff_length	est_counts	tpm
cds-YP_081455.1	933	729.361	2	133.926
cds-YP_081456.1	288	97.5719	0	0
cds-YP_081457.1	336	139.074	0	0
cds-YP_004940329.1	273	86.4057	3	1695.73
cds-YP_004940330.1	144	17.9543	1	2720.26
cds-YP_081458.1	513	309.545	4	631.122
cds-YP_081459.1	705	501.361	34	3312.12
cds-YP_081460.1	1245	1041.36	0	0
cds-YP_081461.1	882	678.361	0	0
cds-YP_081462.1	657	453.361	0	0
cds-YP_081463.1	180	30.8165	1	1584.87
cds-YP_081464.1	450	247.277	1	197.512
cds-YP_081465.1	501	297.587	395	64827.8
cds-YP_081466.1	843	639.361	9	687.502
cds-YP_081468.2	585	381.361	1.674e-05	0.00214386
cds-YP_081468.2_1	390	189.449	2	515.604
cds-YP_081467.1	669	465.361	2.99998	314.852
cds-YP_081469.1	702	498.361	1	98.0017
cds-YP_081470.1	765	561.361	0	0
cds-YP_081471.1	819	615.361	10	793.684
cds-YP_081472.1	1422	1218.36	68	2725.9
cds-YP_081473.1	984	780.361	10	625.867
cds-YP_081474.1	309	115.275	3	1271.05
cds-YP_081475.1	693	489.361	41	4091.97
cds-YP_081476.1	315	120.393	31	12575.8
cds-YP_081477.1	1107	903.361	3	162.195
cds-YP_081478.1	297	104.9	4	1862.36
cds-YP_081479.1	1017	813.361	14	840.664
cds-YP_081480.1	372	172.177	15	4254.95
cds-YP_081481.1	86	7.18182	22	149612
cds-YP_081481.1_1	232	57.4862	32	27187.2
cds-YP_081482.1	855	651.361	20	1499.64
cds-YP_081483.2	1077	873.361	18	1006.6
cds-YP_081484.1	1971	1767.36	36	994.844
cds-YP_081485.1	567	363.361	29	3897.96
cds-YP_081486.1	1827	1623.36	37	1113.18
cds-YP_081487.2	1076	872.361	18	1007.75
cds-YP_081487.2_1	1027	823.361	26	1542.27
cds-YP_081489.1	366	166.411	8	2347.94
cds-YP_007947989.1	240	62.7124	6	4672.78
cds-YP_081490.1	1788	1584.36	47	1448.84
cds-YP_081491.1	3150	2946.36	39	646.482
cds-YP_081492.1	27	28	0	0
cds-YP_081492.1_1	1212	1008.36	8	387.482
cds-YP_081493.1	1224	1020.36	24	1148.78
cds-YP_081494.1	1926	1722.36	26	737.27
cds-YP_081495.1	202	41.0286	12	14284.7
cds-YP_081495.1_1	1229	1025.36	109	5191.91
cds-YP_081496.1	488	284.705	11	1887.01
cds-YP_081496.1_1	43	44	1	1110.01
cds-YP_081496.1_2	936	732.361	1	66.6887
cds-YP_081497.1	996	792.361	64	3944.89
cds-YP_081499.1	237	60.6107	35	28203.1
cds-YP_081498.1	666	462.361	130	13732.2
cds-YP_081500.1	378	177.982	26	7134.68
cds-YP_081501.1	1272	1068.36	95	4342.93
cds-YP_081502.1	1302	1098.36	110	4891.31
cds-YP_081503.1	2721	2517.36	75	1455.1
cds-YP_081504.1	873	669.361	28	2043.03
cds-YP_081505.1	2952	2748.36	38	675.286
cds-YP_081506.1	6726	6522.36	160	1198.1
cds-YP_081507.1	228	55.0878	15	13298.8
cds-YP_081508.1	1713	1509.36	123	3980.06
cds-YP_081509.1	1197	993.361	38	1868.33
cds-YP_081510.1	474	270.856	26	4688.27
cds-YP_081511.1	2007	1803.36	35	947.901
cds-YP_081512.1	1131	927.361	47	2475.29
cds-YP_081513.1	3729	3525.36	245	3394.22
cds-YP_081514.1	2724	2520.36	227	4398.87
cds-YP_081515.1	2553	2349.36	88	1829.41
cds-YP_081516.1	3708	3504.36	46	641.101
cds-YP_081517.1	2229	2025.36	56	1350.4
cds-YP_081518.1	2841	2637.36	15	277.779
cds-YP_081519.1	1086	882.361	21	1162.39
cds-YP_081520.1	1167	963.361	18	912.559
cds-YP_081521.1	408	206.634	21	4963.59
cds-YP_081522.1	1419	1215.36	1	40.1858
cds-YP_002802310.2	14	15	0	0
cds-YP_002802310.2_1	199	39.6538	21	25865
cds-YP_081523.1	2229	2025.36	37	892.23
cds-YP_081524.1	978	774.361	12.9661	817.792
cds-YP_081525.1	1911	1707.36	15.0339	430.055
cds-YP_081526.1	1296	1092.36	395	17660.7
cds-YP_081527.1	888	684.361	18	1284.59
cds-YP_081528.1	2127	1923.36	24.8793	631.764
cds-YP_081529.1	1122	918.361	26.1207	1389.15
cds-YP_081530.1	1680	1476.36	22	727.793
cds-YP_081531.1	1686	1482.36	21	691.899
cds-YP_081532.1	1764	1560.36	110	3443.06
cds-YP_081533.1	921	717.361	12	816.998
cds-YP_081534.1	4113	3909.36	23	287.342
cds-YP_081535.1	2826	2622.36	24	446.989
cds-YP_081536.1	1290	1086.36	10	449.576
cds-YP_081537.1	888	684.361	15	1070.49
cds-YP_081537.1_1	1137	933.361	16	837.236
cds-YP_081538.1	336	139.074	2	702.361
cds-YP_081539.1	606	402.361	6	728.304
cds-YP_081540.1	1785	1581.36	25	772.123
cds-YP_081541.1	1038	834.361	44	2575.59
cds-YP_081542.1	1602	1398.36	43	1501.85
cds-YP_081543.1	384	183.732	21	5582.28
cds-YP_081544.1	2124	1920.36	88	2238.09
cds-YP_081545.1	1755	1551.36	108	3400.08
cds-YP_081546.1	573	369.361	30	3966.87
cds-YP_081547.1	1116	912.361	19	1017.1
cds-YP_081548.1	2622	2418.36	38	767.432
cds-YP_081549.1	750	546.361	12	1072.7
cds-YP_081550.1	2094	1890.36	13	335.874
cds-YP_081551.1	2871	2667.36	101	1849.34
cds-YP_081552.1	183	32.0982	5	7607.95
cds-YP_081552.1_1	201	40.5728	11	13241.5
cds-YP_081552.1_2	147	18.5455	5	13167.7
cds-YP_081553.1	757	553.361	40	3530.44
cds-YP_081553.1_1	1298	1094.36	53	2365.34
